"File","Date","Hour"
"meps_subset_2_5km_20161114T06Z.nc","20161114","06"
"meps_subset_2_5km_20161114T00Z.nc","20161114","00"
"meps_mbr1_pp_2_5km_20161114T18Z.nc","20161114","18"
"meps_mbr1_pp_2_5km_20161114T12Z.nc","20161114","12"
"meps_mbr1_pp_2_5km_20161114T06Z.nc","20161114","06"
"meps_mbr1_pp_2_5km_20161114T00Z.nc","20161114","00"
"meps_mbr0_vc_2_5km_20161114T18Z.nc","20161114","18"
"meps_mbr0_vc_2_5km_20161114T12Z.nc","20161114","12"
"meps_mbr0_vc_2_5km_20161114T06Z.nc","20161114","06"
"meps_mbr0_vc_2_5km_20161114T00Z.nc","20161114","00"
"meps_mbr0_ppalgs_plevels_2_5km_20161114T18Z.nc","20161114","18"
"meps_mbr0_ppalgs_plevels_2_5km_20161114T12Z.nc","20161114","12"
"meps_mbr0_ppalgs_plevels_2_5km_20161114T06Z.nc","20161114","06"
"meps_mbr0_ppalgs_plevels_2_5km_20161114T00Z.nc","20161114","00"
"meps_mbr0_pp_2_5km_20161114T18Z.nc","20161114","18"
"meps_mbr0_pp_2_5km_20161114T12Z.nc","20161114","12"
"meps_mbr0_pp_2_5km_20161114T06Z.nc","20161114","06"
"meps_mbr0_pp_2_5km_20161114T00Z.nc","20161114","00"
"meps_mbr0_full_backup_2_5km_20161114T00Z.nc","20161114","00"
"meps_mbr0_extracted_backup_2_5km_20161114T00Z.nc","20161114","00"
"wbkz_2_5km_mbr1_20161115T06Z.nc","20161115","06"
"wbkz_2_5km_20161115T06Z.nc","20161115","06"
"t2myr_kf_0_5km_mbr1_20161115T18Z.nc","20161115","18"
"t2myr_kf_0_5km_mbr1_20161115T12Z.nc","20161115","12"
"t2myr_kf_0_5km_mbr1_20161115T06Z.nc","20161115","06"
"t2myr_kf_0_5km_mbr1_20161115T00Z.nc","20161115","00"
"t2myr_kf_0_5km_mbr0_20161115T18Z.nc","20161115","18"
"t2myr_kf_0_5km_mbr0_20161115T12Z.nc","20161115","12"
"t2myr_kf_0_5km_mbr0_20161115T06Z.nc","20161115","06"
"t2myr_kf_0_5km_mbr0_20161115T00Z.nc","20161115","00"
"meps_subset_2_5km_20161115T18Z.nc","20161115","18"
"meps_subset_2_5km_20161115T12Z.nc","20161115","12"
"meps_subset_2_5km_20161115T06Z.nc","20161115","06"
"meps_subset_2_5km_20161115T00Z.nc","20161115","00"
"meps_mbr1_pp_2_5km_20161115T18Z.nc","20161115","18"
"meps_mbr1_pp_2_5km_20161115T12Z.nc","20161115","12"
"meps_mbr1_pp_2_5km_20161115T06Z.nc","20161115","06"
"meps_mbr1_pp_2_5km_20161115T00Z.nc","20161115","00"
"meps_mbr0_vc_2_5km_20161115T18Z.nc","20161115","18"
"meps_mbr0_vc_2_5km_20161115T12Z.nc","20161115","12"
"meps_mbr0_vc_2_5km_20161115T06Z.nc","20161115","06"
"meps_mbr0_vc_2_5km_20161115T00Z.nc","20161115","00"
"meps_mbr0_ppalgs_plevels_2_5km_20161115T18Z.nc","20161115","18"
"meps_mbr0_ppalgs_plevels_2_5km_20161115T12Z.nc","20161115","12"
"meps_mbr0_ppalgs_plevels_2_5km_20161115T06Z.nc","20161115","06"
